product_title,product_image,price,pack_size,price_per_unit
Orchard & Vine Blueberries 500g,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Freezer/Products/ALN2364_FROZEN_FOOD_PD_388x314_3.jpg,$5.59,,$11.18 per kg
International Cuisine Beef Lasagne 2kg,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Q-UPDATES/2021/Q4/PD/ALN3708_Q4-WEB_NEW-PD_388x314_14.jpg,$9.99,2kg,50c per 100g
International Cuisine Supreme Family Pizza 500g,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Freezer/Products/ALN3354_Q2-WEB-AUDIT_PD_388x314_22.jpg,$3.69,,74c per 100g
The Best Margherita Pizza Ever 365g,,$5.99,,$1.64 per 100g
Market Fare Cauliflower or Broccoli Bake 800g,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Award_Winning_Products/Frozen_Foods/2017_Frozen_Products/ALN0533_PD_FROZEN_388x314_4.jpg,$6.49,ea,$8.11 per kg
Market Fare Stir Fry Vegetables 850g,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Freezer/Products/ALN2853_FROZEN_FOOD_PD_388x314_2.jpg,$4.29,850g,$5.05 per kg
Market Fare Winter Vegetables 1kg,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Freezer/Products/ALN3354_Q2-WEB-AUDIT_PD_388x314_23.jpg,$2.79,,$2.79 per kg
Essential Health Meal Replacement Bar 55g,,$2.69,ea,$4.89 per 100g
Onset Chocolate Protein Bars 51g-57g,,$3.29,,$6.45/$5.77 per 100g
Onset Protein Bars 30g,,$1.99,ea,$6.63 per 100g
Essential Health Meal Replacement Shake 55g,,$2.49,ea,$4.53 per 100g
Essential Health First Aid Strips Plastic 100pk or Fabric 50pk,,$1.99,ea,2c-4c per strip
Essential Health Electrolytes 20pk,,$6.29,20pk,31c per tablet
Essential Health Effervescents 15pk,,$5.29,ea,35c per tablet
MAMIA®Unisex Infant Nappies 4kg-8kg 56pk,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Baby/Products/2022/Q2/1000838-2_BABY-NAPPY_PD_388x314_2.jpg,$11.49,56pk,21c per nappy
MAMIA®Unisex Newborn Nappies,,$4.69,28pk,17c per nappy
Market Fare Broccoli 500g,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Award_Winning_Products/Frozen_Foods/2017_Frozen_Products/ALN0533_PD_FROZEN_388x314_2.jpg,$2.29,,$4.58 per kg
Market Fare Green Beans 1kg,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Award_Winning_Products/Frozen_Foods/2017_Frozen_Products/ALN0533_PD_FROZEN_388x314_3.jpg,$2.19,,$2.19 per kg
"Market Fare Peas, Carrots & Corn 1kg",https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Award_Winning_Products/Frozen_Foods/2019/ALN2147_Q4_FROZEN_FOOD_PD_388x314_4.jpg,$3.39,,$3.39 per kg
Market Fare Baby Peas 1kg,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Freezer/Products/ALN3354_Q2-WEB-AUDIT_PD_388x314_21.jpg,$3.79,1kg,$3.79 per kg
Market Fare Garden Peas 1kg,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Award_Winning_Products/Frozen_Foods/2019/ALN2147_Q4_FROZEN_FOOD_PD_388x314_2.jpg,$2.09,,$2.09 per kg
